,UserID,Name,Tweet,Mentions,Created At,Retweet,Likes,Location,Translated
121,willaschmitz7,willa schmitz,"@MJBridger: I backed @RishiSunak before &amp; I will be backing him again. As Prime Minister, he will tackle the difficult challenges we fac…","['Matthew J. Bridger FRSA', 'Rishi Sunak']",2022-11-01 04:27:32+00:00,1,0,,
122,Deepakdiaz34644,Deepakdiaz3464,"@im_aathmika: Congratulations #RishiSunak on becoming the first Indian origin Prime minister for UK!!! 

#Ready4Rishi 
@RishiSunak","['Aathmika', 'Rishi Sunak']",2022-10-31 18:13:28+00:00,1,0,"Bengaluru South, India",
123,VivekGu84122483,Vivek Gupta,"@Helen_Whately: Today is the last day of the #ConservativeLeadershipContest 

Throughout the campaign @RishiSunak has shown his grip of…","['Helen Whately', 'Rishi Sunak']",2022-10-31 17:07:53+00:00,1,0,Jabalpur india,
124,CareyDP1,David Carey,@swimfish106: Looks like they are not #ready4rishi after all,['Christine 🇪🇺'],2022-10-31 16:23:30+00:00,1,0,,
125,swimfish106,Christine 🇪🇺,Looks like they are not #ready4rishi after all https://t.co/8jqNtkbw07,[],2022-10-31 16:14:47+00:00,0,1,East Midlands  ,
126,imneek____,Nikunj Chauhan,"I’m #Ready4Rishi 🚀
👍 We need to restore trust in our politics. 
💪 We need to rebuild our economy. 
🤝 And we need to reunite the country.
Join the campaign for @rishisunak: https://t.co/8xaDqfnXwX",['Rishi Sunak'],2022-10-31 12:51:06+00:00,0,2,United Kingdom,
127,_darkfinger,Kamehameha,"@RishiSunak: I will never let political correctness stand in the way of keeping you and your family safe. 

#Ready4Rishi https://t.co/Mv…",['Rishi Sunak'],2022-10-31 11:15:03+00:00,1,0,"Lagos, Nigeria",
128,EtyhSonyaj,sonyaj.etyh,"@Ready4Rishi: A huge thank you to all @Conservatives members coming to support Rishi across the country👏

This week, Rishi has been meet…","['Ready 4 Rishi', 'Conservatives']",2022-10-31 07:51:31+00:00,1,0,Qatar,
129,VimalSana9,Vimal Sana,"@simbamara: Well said Sir, I am confident @RishiSunak will reach out across Party factions &amp; gathet the best talent available to deal wi…","['Anilkumar -Support Rishi Sunak 4 PM of UK', 'Rishi Sunak']",2022-10-31 04:10:50+00:00,1,0,"Shimla, India",
130,Modi79117404,Narendra Modi,"@RishiSunak: Six weeks on the road and I’ve loved every second. 

Voting closes at 5pm today and every vote matters! #Ready4Rishi https:…",['Rishi Sunak'],2022-10-31 01:30:12+00:00,1,0,,
131,Modi79117404,Narendra Modi,"@Helen_Whately: Today is the last day of the #ConservativeLeadershipContest 

Throughout the campaign @RishiSunak has shown his grip of…","['Helen Whately', 'Rishi Sunak']",2022-10-31 01:30:04+00:00,1,0,,
132,Modi79117404,Narendra Modi,"@RishiSunak: Voting is now closed 🗳

Thank you to all my colleagues, campaign team and, of course, all the members who came out to meet…",['Rishi Sunak'],2022-10-31 01:29:59+00:00,1,0,,
133,DrDebBehera,Dr Debakanta Behera,@MrAndy_Carter: Well done to @RishiSunak on becoming the new Leader of the @Conservatives and Prime Minister. Huge challenges ahead and…,"['Andy Carter MP', 'Rishi Sunak', 'Conservatives']",2022-10-30 22:31:27+00:00,1,0,,
