,UserID,Name,Tweet,Mentions,Created At,Retweet,Likes,Location
547,abhisagar6798,Abhisagar6798,@Nyksindia: नेहरू युवा केंद्र राजसमंद के निर्देशन पर स्वामी विवेकानंद युवा मंडल एवं स्वच्छ केलवा स्वतंत्रता दिवस आजादी के अमृत महोत्सव प…,['NYKS India'],2022-08-19 14:54:11+00:00,1,0,
548,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@BandaNyk: नेहरू युवा केन्द्र बाँदा (उ.प्र) द्वारा हर घर तिरंगा अभियान के अंतर्गत 75 वे स्वतंत्रता दिवस को संस्कृतिक कार्यक्रमों के मा…,['NYK Banda'],2022-08-19 14:54:11+00:00,1,0,Jalandhar
549,Kadeer0786k,Kadeer khan,"@FFOIndia: क्या हमें 15 अगस्त के बाद भी झंडा लगाए रखना है या हटाना है? 

आइए जानते हैं

#HarGharTiranga #HarDinTiranga #AmritMahotsav ht…",['Flag Foundation of India'],2022-08-19 14:54:09+00:00,1,0,
550,AditiRa1502,Aditi Rana,"@Nyksindia: ""Don't see others doing better than you beat your own records every day, because success is a fight between you and yourself…",['NYKS India'],2022-08-19 14:54:09+00:00,1,0,Una Himachal Pradesh
551,withusainath,$ainath,@PawanKalyan: Our Tricolour National Flag has always been an integral part of JanaSena’s campaigns and struggle for peoples issues. I sa…,['Pawan Kalyan'],2022-08-19 14:54:08+00:00,1,0,"Iowa, USA"
552,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@BijnorNyk: नेहरू युवा केन्द्र बिजनौर द्वारा स्वतंत्रता दिवस के उपलक्ष्य में राष्ट्रीय स्वयंसेवक नीरज द्वारा हल्दौर ब्लॉक में १५०० और ५०…,['NYK BIJNOR'],2022-08-19 14:53:59+00:00,1,0,Jalandhar
553,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,"@NSS_ACSCOL_KPTN: Ind. Day Rally  #घरोघरी_तिरंगा 
#HarGharTiranga #AmritMahotsav @ianuragthakur @Anurag_Office @NisithPramanik @NisithOf…","['NSS Cell,ACS College, Kharepatan Aff to Uni of Mum', 'Anurag Thakur', 'Office of Mr. Anurag Thakur', 'Nisith Pramanik']",2022-08-19 14:53:57+00:00,1,0,Jalandhar
554,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@BijnorNyk: नेहरू युवा केन्द्र बिजनौर द्वारा स्वतंत्रता दिवस के उपलक्ष्य में राष्ट्रीय स्वयंसेवक नीरज द्वारा हल्दौर ब्लॉक में १५०० और ५०…,['NYK BIJNOR'],2022-08-19 14:53:46+00:00,1,0,Jalandhar
555,cbmohan2,c b mohan,"@OriginsOfIndia: “Leaving the Island of Ceylon and sailing westerly, you reach the subcontinent of greater India, the noblest and riches…",['Bhāratvarṣam'],2022-08-19 14:53:44+00:00,1,0,BANGALORE
556,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@BandaNyk: नेहरू युवा केन्द्र बाँदा (उ.प्र) द्वारा हर घर तिरंगा अभियान के अंतर्गत 75 वे स्वतंत्रता दिवस को हर्षोल्लास के साथ मनाया।@ianu…,['NYK Banda'],2022-08-19 14:53:40+00:00,1,0,Jalandhar
557,AditiRa1502,Aditi Rana,"@Nyksindia: Nehru Yuva Kendra Along, Arunachal Pradesh @AlongNyk organised the orientation of youth on #harghartiranga. 

#jaihind #alon…","['NYKS India', 'NYK West Siang']",2022-08-19 14:53:34+00:00,1,0,Una Himachal Pradesh
